,Player,Pos,Age,Team
0,Steven Adams,C,26,Oklahoma City Thunder
1,Bam Adebayo,PF,22,Miami Heat
2,LaMarcus Aldridge,C,34,San Antonio Spurs
3,Kyle Alexander,C,23,Miami Heat
4,Nickeil Alexander-Walker,SG,21,New Orleans Pelicans
5,Grayson Allen,SG,24,Memphis Grizzlies
6,Jarrett Allen,C,21,Brooklyn Nets
7,Kadeem Allen,PG,27,New York Knicks
8,Al-Farouq Aminu,PF,29,Orlando Magic
9,Justin Anderson,SG,26,Brooklyn Nets
10,Kyle Anderson,SF,26,Memphis Grizzlies
11,Ryan Anderson,C,31,Houston Rockets
12,Giannis Antetokounmpo,PF,25,Milwaukee Bucks
13,Kostas Antetokounmpo,PF,22,Los Angeles Lakers
14,Thanasis Antetokounmpo,SF,27,Milwaukee Bucks
