,W,L,W/L%,PS/G,PA/G,SRS,Team
0,53,19,0.736,112.8,106.5,5.97,Toronto Raptors
1,48,24,0.667,113.7,107.3,5.83,Boston Celtics
2,43,30,0.589,110.7,108.4,2.25,Philadelphia 76ers
3,35,37,0.486,111.8,112.3,-1.01,Brooklyn Nets
4,21,45,0.318,105.8,112.3,-6.72,New York Knicks
5,56,17,0.767,118.7,108.6,9.41,Milwaukee Bucks
6,45,28,0.616,109.4,107.5,1.63,Indiana Pacers
7,22,43,0.338,106.8,109.9,-4.0,Chicago Bulls
8,20,46,0.303,107.2,110.8,-4.38,Detroit Pistons
9,19,46,0.292,106.9,114.8,-7.77,Cleveland Cavaliers
10,44,29,0.603,112.0,109.1,2.59,Miami Heat
11,33,40,0.452,107.3,108.3,-0.93,Orlando Magic
12,23,42,0.354,102.9,109.6,-7.03,Charlotte Hornets
13,25,47,0.34700000000000003,114.4,119.1,-5.24,Washington Wizards
14,20,47,0.299,111.8,119.7,-7.71,Atlanta Hawks
15,46,27,0.63,111.3,109.2,2.35,Denver Nuggets
16,44,28,0.611,110.4,108.4,2.33,Oklahoma City Thunder
17,44,28,0.611,111.3,108.8,2.52,Utah Jazz
18,35,39,0.473,115.0,116.1,-0.61,Portland Trail Blazers
19,19,45,0.297,113.3,117.5,-4.02,Minnesota Timberwolves
20,52,19,0.732,113.4,107.6,6.28,Los Angeles Lakers
21,49,23,0.6809999999999999,116.3,109.9,6.66,Los Angeles Clippers
22,34,39,0.466,113.6,113.4,0.56,Phoenix Suns
23,31,41,0.431,110.1,112.1,-1.59,Sacramento Kings
24,15,50,0.231,106.3,115.0,-8.12,Golden State Warriors
25,44,28,0.611,117.8,114.8,3.13,Houston Rockets
26,43,32,0.573,117.0,112.1,4.87,Dallas Mavericks
27,34,39,0.466,112.6,113.7,-0.91,Memphis Grizzlies
28,32,39,0.451,114.1,115.2,-0.65,San Antonio Spurs
29,30,42,0.417,115.8,117.1,-0.55,New Orleans Pelicans
